CBSA Code,Metro Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,Lat,Lng
40820,,384,"Ruston, LA",Micropolitan Statistical Area,,"Monroe-Ruston-Bastrop, LA",Lincoln Parish,Louisiana,22,061,Central,32.598888,-92.6983868
40860,,,"Rutland, VT",Micropolitan Statistical Area,,,Rutland County,Vermont,50,021,Central,43.6448675,-72.9932969
40900,,472,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,,"Sacramento-Roseville, CA",El Dorado County,California,06,017,Central,38.7426376,-120.4357631
40900,,472,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,,"Sacramento-Roseville, CA",Placer County,California,06,061,Central,39.0915751,-120.8039474
40900,,472,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,,"Sacramento-Roseville, CA",Sacramento County,California,06,067,Central,38.47467,-121.3541631
40900,,472,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,,"Sacramento-Roseville, CA",Yolo County,California,06,113,Outlying,38.7646021,-121.9017954
40940,,,"Safford, AZ",Micropolitan Statistical Area,,,Graham County,Arizona,04,009,Central,33.076805,-109.7591675
40980,,474,"Saginaw, MI",Metropolitan Statistical Area,,"Saginaw-Midland-Bay City, MI",Saginaw County,Michigan,26,145,Central,43.4044253,-84.0167423
41060,,378,"St. Cloud, MN",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Benton County,Minnesota,27,009,Central,45.7211058,-93.9732855
41060,,378,"St. Cloud, MN",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Stearns County,Minnesota,27,145,Central,45.5844792,-94.5865603
41100,,,"St. George, UT",Metropolitan Statistical Area,,,Washington County,Utah,49,053,Central,37.3224877,-113.4776098
41140,,312,"St. Joseph, MO-KS",Metropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Doniphan County,Kansas,20,043,Outlying,39.8245628,-95.1849219
41140,,312,"St. Joseph, MO-KS",Metropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Andrew County,Missouri,29,003,Outlying,39.9637436,-94.8105955
41140,,312,"St. Joseph, MO-KS",Metropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Buchanan County,Missouri,29,021,Central,39.6349791,-94.8105955
